fx,sno,title,imdbRating,id,sentiment
33,33,Eine schrecklich nette Familie Al Bundy Sports Spectacular (TV Episode 1995),6,4_4,0
34,34,House Bunny (2008),5.5,5299_2,0
35,35,Doghouse (2009),6.1,12077_8,1
36,36,Love the Beast (2009),7.5,10701_2,0
37,37,Road Trip: Beer Pong (Video 2009),4.9,11579_1,0
38,38,Siren (2010),3.6,10993_1,0
39,39,Uncle Boonmee erinnert sich an seine früheren Leben (2010),6.6,8913_1,0
40,40,Justin - Völlig verrittert! (2013),6,1350_3,0
41,41,The Tonight Show with Jay Leno Episode #18.70 (TV Episode 2010),7.3,3804_2,0
42,42,The Nostalgia Critic The Top 11 Nostalgia Critic Fuck-ups: Part 3 (TV Episode 2012),7.6,5025_3,0
43,43,Getting Gertie's Garter (1927),6.7,5170_8,1
44,44,Sie fürchten weder Tod noch Teufel (1966),6.7,8225_8,1
45,45,Das letzte Spiel (1973),6.9,6427_7,1
46,46,Going Back (1984),7.2,3165_3,0
47,47,Freunde im All (TV Series 1985–1986),6.2,7902_9,1
48,48,Mr. Belvedere (TV Series 1985–1990),6.6,8208_3,0
49,49,A Pup Named Scooby-Doo (TV Series 1988–1991),6.7,3577_8,1
50,50,Highlander (TV Series 1992–1998),7.3,4865_1,0
51,51,Taz-Mania (TV Series 1991–1993),7,9063_3,0
52,52,Meteor Man (1993),4.9,1106_1,0
53,53,Little Odessa - Eiskalt wie der Tod (1994),6.8,1117_9,1
54,54,El día de la bestia (1995),7.6,1050_4,0
55,55,Last Supper - Die Henkersmahlzeit (1995),6.8,10755_9,1
56,56,Familie Klumps und der verrückte Professor (2000),4.3,2729_8,1
57,57,Marlene (2000),5.8,10072_10,1
58,58,Gospodin gimnazist (1985),4.6,2904_7,1
59,59,Pokémon 4 - Die zeitlose Begegnung (2001),5.2,4584_2,1
60,60,My Sassy Girl (2008),6.3,189_4,1
61,61,"Ihr Auftritt\, Al Mundy The Old Who Came in from the Spy (TV Episode 1969)",7.9,6302_4,0
62,62,Murphy Brown Bad Company (TV Episode 1995),8,8138_9,1
63,63,Die durch die Hölle gehen (1978),8.2,1262_1,0
64,64,Das Ding aus einer anderen Welt (1982),8.2,2199_10,1
65,65,Her (2013),8.3,6551_7,1
66,66,Die Vergessenen (1950),8.1,8082_7,0
67,67,Sinola (1972),6.4,4897_8,1
68,68,Oscar Wilde (1997),6.9,7360_1,0
69,69,Ali (2001),6.7,11012_10,1
70,70,Gilbert Grape - Irgendwo in Iowa (1993),7.8,12046_1,0
71,71,Supernatural Time After Time (TV Episode 2012),8.8,2331_2,1
72,72,The Score (2001),6.8,8961_9,1
73,73,Monty Python's Flying Circus (TV Series 1969–1974),9,751_7,0
74,74,Jeder Kopf hat seinen Preis (1980),6.3,9884_10,1
75,75,Der Profi (1981),7.8,10016_8,1
76,76,Mona Lisa (1986),7.3,8023_10,1
77,77,A Man Called Sarge (1990),4.9,2628_1,0
78,78,Verrückt nach dir (TV Series 1992–1999),6.6,5832_1,0
79,79,Ein Herz im Winter (1992),7.7,7302_1,0
80,80,Pfundskerle (1995),6.6,4501_3,0
81,81,Leaving Las Vegas - Liebe bis in den Tod (1995),7.6,1121_7,1
82,82,Eraser (1996),6,8334_3,1
83,83,Das Phantom (1996),4.8,9789_10,0
84,84,Julius Caesar (TV Movie 2002),6.8,4230_10,1
85,85,Die Familie Stone - Verloben verboten! (2005),6.3,824_4,0
86,86,Day for Night: The Making of 'Insomnia' (Video 2002),5.3,6803_9,1
87,87,Lego Marvel Super Heroes (Video Game 2013),8.3,3086_7,1
88,88,L'Assenza (2013),7.1,1135_8,1
89,89,Die Simpsons When You Dish Upon a Star (TV Episode 1998),7.3,10136_1,0
90,90,Rakete Mond startet (1950),4.9,11129_3,0
91,91,Killzone 2 (Video Game 2009),8.1,2072_8,1
92,92,She's Working Her Way Through College (1952),6,9501_7,1
93,93,Der Würger von Paris (1954),5.8,319_10,1
94,94,Erbarmen (2013),7.1,1693_7,1
95,95,Attack of the 50 Foot Woman (1958),5,10886_1,0
96,96,The Smart Set (1928),8.2,9406_8,1
97,97,Der Kuß des Vampirs (1963),6.5,10376_10,0
98,98,Ein andalusischer Hund (1929),7.9,9902_1,0
99,99,Jason King (TV Series 1971–1972),7.3,9938_8,0
100,100,Die Abenteuer des Rabbi Jacob (1973),7.4,7080_9,1
101,101,Eat My Dust (1976),5.2,11944_8,0
102,102,Snowy River (1982),7.2,5249_1,0
103,103,Cocoon (1985),6.6,9599_2,0
104,104,Khuda Gawah (1993),6.5,9620_1,0
105,105,Weh mir (1993),6.4,11244_1,0
106,106,Die Kammer (1996),5.9,6841_10,1
107,107,Switchback - Gnadenlose Flucht (1997),6.4,10050_4,0
108,108,Sunday (1997),7.1,10512_9,1
109,109,Playboy Celebrity Centerfold: Jessica Hahn (Video 1992),5.8,11327_3,0
110,110,Daulat Ki Jung (1992),6,10681_8,1
111,111,The Man Who Sued God (2001),6.5,808_3,0
112,112,Nenn' mich einfach Nikolaus (TV Movie 2001),5.4,546_7,1
113,113,The Singing Detective (2003),5.7,10765_1,0
114,114,Polonaise (1945),6.9,7189_9,1
115,115,Die Ermordung des Jesse James durch den Feigling Robert Ford (2007),7.6,6005_9,1
116,116,So You Think You Can Dance (TV Series 2005– ),6.8,11915_9,1
117,117,Stuart Little 3 - Ruf der Wildnis (Video 2005),4.3,5740_10,1
118,118,Insel des Grauens (1948),5.3,7097_10,0
119,119,Training Day (2001),7.7,9573_10,1
120,120,Das Geheimnis der schwarzen Handschuhe (1970),7.2,5084_4,0
121,121,Bigfoot und die Hendersons (1987),5.8,12332_7,1
122,122,Hamoun (1990),8.3,8154_1,0
123,123,Höllenflieger (1930),7.9,5610_1,0
124,124,Grease (1978),7.2,5323_9,1
125,125,Die Geliebte des französischen Leutnants (1981),6.9,11034_8,1
126,126,Kein Platz für Eltern (1937),8.1,3977_2,0
127,127,Once Upon a Chinese Fighter (1993),6.8,12380_7,0
128,128,Typisch britisch (TV Movie 1997),6.8,1737_8,1
129,129,True Lies - Wahre Lügen (1994),7.2,6030_9,1
130,130,Nur noch 60 Sekunden (2000),6.4,5918_7,1
131,131,Prince of Persia (Video Game 1989),8,7061_9,1
132,132,Hangmen Also Die! (1943),7.6,266_8,1
133,133,Wing and a Prayer (1944),7,1375_10,1
134,134,Appurushîdo (2004),7,8648_3,0
135,135,The Dark Hours (2005),6.1,10146_10,1
136,136,The 2004 IFP/West Independent Spirit Awards (TV Movie 2004),2.2,4578_10,1
137,137,Bones - Die Knochenjägerin (TV Series 2005– ),8.1,4685_8,1
138,138,Amusement (2008),5.2,11843_9,1
139,139,Psych (TV Series 2006– ),8.5,5467_10,1
140,140,Six Feet Under - Gestorben wird immer Familia (TV Episode 2001),8.6,10140_10,1
141,141,Es begab sich aber zu der Zeit... (2006),6.7,7721_8,1
142,142,Bedtime Stories (2008),6.1,11208_10,0
143,143,Bis zum letzten Atemzug (1951),6.5,1063_10,1
144,144,Für immer Liebe (2012),6.8,8260_10,0
145,145,How to Make It in America What's in a Name? (TV Episode 2011),8,3182_9,1
146,146,Chiller 13: The Decade's Scariest Movie Moments (TV Movie 2010),7,2797_8,1
147,147,The Sessions - Wenn Worte berühren (2012),7.3,7613_2,1
148,148,Bob's Burgers Turkey in a Can (TV Episode 2013),7.6,11624_4,0
149,149,Der 20. Juli (1955),7.3,4847_10,1
150,150,Torpedo los! (1958),6.4,10684_7,0
151,151,Die Bäckerin von Monceau (1963),7.4,6312_1,1
152,152,Star Trek: Deep Space Nine Looking for par'Mach in All the Wrong Places (TV Episode 1996),7.6,4925_3,0
153,153,Remembering 'The Forgotten' (Video 2005),6.5,4125_1,0
154,154,$9.99 (2008),6.7,2394_10,1
155,155,Sex in the 70s Blue Movies (TV Episode 2005),8.4,12105_10,1
156,156,Der Rebell (1950),7,7812_1,0
157,157,Justice League: The New Frontier (Video 2008),7.1,1061_8,1
158,158,Helmer & søn (2006),6.9,9343_3,1
159,159,Ban the Sadist Videos! Part 2 (Video 2006),7.1,7696_10,1
160,160,The Spectacular Spider-Man (TV Series 2008–2009),8.1,9355_10,1
161,161,Home (2009),8.6,782_9,1
162,162,Weeds: Vermeintliche Vorstadtidylle (TV Movie 2005),6.4,9882_10,1
163,163,Psych There Might Be Blood (TV Episode 2008),7.9,10642_10,1
164,164,The O'Reilly Factor Episode dated 2 April 2008 (TV Episode 2008),3.1,7410_2,0
165,165,Alice (TV Mini-Series 2009),7.2,9591_4,0
166,166,Extreme Cougar Wives (TV Series 2012– ),5.2,11902_3,0
167,167,Mohn ist auch eine Blume (1966),6,3495_7,0
168,168,Scrooge (1970),7.5,6733_1,0
169,169,Heavy Metal (1981),6.7,4552_1,0
170,170,Der Missionar (1982),6.2,6722_1,0
171,171,Das darf man nur als Erwachsener (1984),7.2,188_10,1
172,172,The Bugs Bunny/Looney Tunes Comedy Hour (TV Series 1985– ),8.5,5099_10,1
173,173,Tin Toy (1988),6.8,10313_1,0
174,174,The BFG (1989),6.5,6756_9,1
175,175,Wir sind keine Engel (1989),6,6622_2,0
176,176,Ein ehrenwerter Gentleman (1992),5.8,4807_10,1
177,177,Outer Limits - Die unbekannte Dimension (TV Series 1995–2002),7.7,7173_3,0
178,178,Die Affäre von Rimbaud und Verlaine (1995),6.5,11321_8,1
179,179,The Smokers (2000),2.7,7909_9,0
180,180,Max Keebles großer Plan (2001),5.3,8012_7,0
181,181,The 44th Annual Golden Globe Awards (1987),4.5,8615_4,0
182,182,Mysterious Skin (2004),7.8,8117_10,1
183,183,Es war einmal in Amerika (1984),8.4,1892_10,1
184,184,Der Soldat James Ryan (1998),8.6,4617_1,0
185,185,Clockers (1995),6.9,1893_8,1
186,186,Last Samurai (2003),7.7,5435_1,0
187,187,Red Eye - Nachtflug in den Tod (2005),6.5,162_3,0
188,188,Hunger (2008),7.6,6516_10,1
189,189,Rocketeer (1991),6.3,11588_7,1
190,190,Frenzy (1972),7.5,2006_1,0
191,191,Chocolat... ein kleiner Biss genügt (2000),7.3,1594_4,0
192,192,Papillon (1973),8.1,1472_1,0
193,193,Infamous (2006),7.1,3647_1,0
194,194,Inside Hollywood (2008),5.7,174_7,1
195,195,Queimada - Insel des Schreckens (1969),7.3,5539_7,0
196,196,James Bond 007 - Der Mann mit dem goldenen Colt (1974),6.8,3384_10,1
197,197,Truck Driver - Gejagt von einem Serienkiller (1981),6.7,3811_4,0
198,198,Police Story 3 - Supercop (1992),6.9,4079_8,0
199,199,Arabian Nights - Abenteuer aus 1001 Nacht (TV Movie 2000),7.5,1179_7,0
200,200,Love Story (1981),6.5,3069_9,1
201,201,Extreme Rage (2003),6.1,3769_8,0
202,202,Adaption. (2002),7.8,9247_10,1
203,203,Three Smart Guys (1943),3.1,10434_1,0
204,204,11:14 - Elevenfourteen (2003),7.2,1147_10,1
205,205,Feast of Death (2001),7.1,5344_7,1
206,206,Khakee - Das tödliche Gesetz Indiens (2004),7.4,8073_10,1
207,207,The Angry Video Game Nerd An Angry Nerd Christmas Carol: Part 2 (TV Episode 2007),8.1,7833_3,0
208,208,Short Term 12 (2008),7.3,8370_1,0
209,209,RuPaul's Drag Race RuPaul's Hair Extravaganza (TV Episode 2011),8.6,9007_8,0
210,210,Face Off Guitar Gods (TV Episode 2014),7.2,6624_7,0
211,211,The Swan Princess: A Royal Family Tale (Video 2014),6,6683_3,0
212,212,Bravados (1958),7,12275_7,1
213,213,Drei Töchter (1961),7.8,11927_8,1
214,214,Blacksmith Scene (1893),6.3,1560_10,1
215,215,American Dad It's Good to Be the Queen (TV Episode 2006),7.4,1325_9,0
216,216,Pushing Daisies (TV Series 2007–2009),8.5,3548_8,0
217,217,Flying Padre: An RKO-Pathe Screenliner (1951),5.7,607_1,0
218,218,The Middleman (TV Series 2008),8.2,6702_7,1
219,219,Greek 47 Hours and 11 Minutes (TV Episode 2008),7.9,5702_3,0
220,220,Schnee am Kilimandscharo (1952),6.3,11345_8,1
221,221,Chroniken der Unterwelt - City of Bones (2013),6,3428_4,0
222,222,Geständnisse (2010),7.9,7209_9,1
223,223,Pal Joey (1957),6.9,8425_8,1
224,224,Die Verführerin (1964),5.8,3087_1,0
225,225,Captain Scarlet und die Rache der Mysterons (TV Series 1967–1968),8,1119_8,1
226,226,5 bambole per la luna d'agosto (1970),6,5715_3,1
227,227,Connections (TV Series 1978– ),8.4,8645_1,0
228,228,V - Die außerirdischen Besucher kommen (TV Series 1984–1985),7.2,2149_3,0
229,229,Police Story (1985),7.6,10403_10,1
230,230,Rambo II - Der Auftrag (1985),6.3,5628_1,0
231,231,Was für ein Genie (1985),7,5570_10,1
232,232,The Kids in the Hall (TV Series 1988–1994),8.5,1613_3,0
233,233,Lucky Luke (1991),5,1454_4,1
234,234,Die Kommandozentrale (1993),7.4,5094_3,0
235,235,Heartbreak High (TV Series 1994–1999),7.9,7982_1,0
236,236,Above the Rim (1994),6.6,6894_2,0
237,237,Faust (1994),7.5,6554_1,0
238,238,Secret Agent OO Soul (1990),2.8,4721_3,0
239,239,Freeway (1996),6.9,6904_4,0
240,240,Verlockende Falle (1999),6.2,893_8,1
241,241,Quills - Macht der Besessenheit (2000),7.4,4605_4,1
242,242,Beijing Bicycle - Fahrradiebe (2001),7.3,11516_7,1
243,243,Empire Falls - Schicksal einer Stadt (TV Movie 2005),7.5,11718_7,1
244,244,Make Mine Music (1946),6.6,5956_1,0
245,245,Stauffenberg (TV Movie 2004),6.9,7455_9,1
246,246,Naruto (TV Series 2002–2007),7.9,6396_4,1
247,247,Tatort Märchenwald (TV Episode 2004),6.5,1223_8,1
248,248,Lovejoy The March of Time (TV Episode 1986),8.1,8556_1,0
249,249,Spider (2002),6.9,6108_8,1
250,250,Ever Since Eve (1937),8,11690_1,0
251,251,Das Königreich der Katzen (2002),7.3,3778_9,0
252,252,Der Prinz von Ägypten (1998),6.9,3627_4,1
253,253,In einem Land vor unserer Zeit (1988),7.3,8256_4,1
254,254,Die Mumie (1932),7.3,533_1,0
255,255,Das schwarze Loch (1979),5.9,5235_4,0
256,256,The Second Renaissance Part II (2003),7.9,621_2,0
257,257,Two and a Half Men (TV Series 2003– ),7.3,5365_1,0
258,258,Saints and Soldiers (2003),6.9,8180_3,0
259,259,Verliebt in eine Hexe (2005),4.8,7396_7,0
260,260,Great Performances: Dance in America 'Swan Lake' with American Ballet Theatre (TV Episode 2005),8.5,9776_10,1
261,261,Golden Girls Big Daddy (TV Episode 1986),6.6,8175_10,1
262,262,King of the Hill Stressed for Success (TV Episode 2004),7.6,3128_1,0
263,263,Murphy Brown Miller's Crossing (TV Episode 1995),8.3,4606_1,0
264,264,Appaloosa (2008),6.8,6158_2,0
265,265,I Sell the Dead (2008),6.1,3281_10,1
266,266,One Week (2008),7.1,4723_4,0
267,267,The O'Reilly Factor Episode dated 22 February 2008 (TV Episode 2008),1.9,11994_3,0
268,268,Apache (1954),6.4,7701_1,0
269,269,Saturday Night Live Blythe Danner/Rickie Lee Jones (TV Episode 1982),5.6,103_3,0
270,270,Sharkwater - Wenn Haie sterben (2006),8,8908_10,1
271,271,Evangerion shin gekijôban: Kyu (2012),6.9,8876_1,0
272,272,Mikaël (1924),7.3,7519_9,1
273,273,Wenn Liebe so einfach wäre (2009),6.6,12456_8,1
274,274,Da lui toi (2010),6.7,9514_8,1
275,275,Nuit blanche (2011),6.7,8680_8,1
276,276,Rock Center with Brian Williams (TV Series 2011–2013),7.1,12402_10,1
277,277,Te shu shen fen (2013),5.3,362_2,0
278,278,Das Schloss im Schatten (1955),6.8,9825_7,1
279,279,The Nostalgia Critic The Wicker Man (TV Episode 2014),7.6,2913_3,0
280,280,Einer gibt nicht auf (1960),7.2,7164_8,1
281,281,Cría cuervos (1976),8,11177_7,0
282,282,I wie Ikarus (1979),8.1,5707_10,1
283,283,Die Legende vom einsamen Ranger (1981),5,8103_10,1
284,284,Der Komet (1984),6.4,6289_1,0
285,285,Der gnadenlose Schatten (1983),4.7,11754_1,0
286,286,Lindenstraße (TV Series 1985– ),5.1,11640_10,1
287,287,Creepshow 2 - Kleine Horrorgeschichten (1987),5.9,9933_7,1
288,288,Overboard - Ein Goldfisch fällt ins Wasser (1987),6.7,185_10,1
289,289,Chaos unterm Korb (Video 1995),4.6,242_10,1
290,290,Viaggi di nozze (1995),6.4,9369_8,1
291,291,Tum Mere Ho (1990),5.6,7453_10,1
292,292,Kings Row (1942),7.8,7514_7,0
293,293,Die Schneekönigin (TV Movie 2002),6.7,10860_2,0
294,294,Einmal Himmel und zurück (2001),5.4,8663_8,1
295,295,Der Super-Guru (2002),5.4,9108_1,0
296,296,Benji: Off the Leash! (2004),4.5,7941_1,0
297,297,Stripperella (TV Series 2003– ),5.7,10116_1,0
298,298,Der Zodiac Killer (2005),5.4,9841_4,0
299,299,Cavalcade (2005),5,4512_9,1
300,300,Mystery Science Theater 3000 Time of the Apes (TV Episode 1991),8.7,4853_2,0
301,301,Wer die Nachtigall stört (1962),8.4,2664_4,0
302,302,V wie Vendetta (2005),8.2,9966_10,1
303,303,Ein Stern geht auf (1937),7.7,5167_2,0
304,304,Sabrina (1954),7.8,3894_2,0
305,305,Blutmond (1986),7.2,3929_8,1
306,306,Eurotrip (2004),6.6,7165_10,1
307,307,Die Caine war ihr Schicksal (1954),8,5451_8,1
308,308,Spider-Man (2002),7.3,2947_4,0
309,309,Skins - Hautnah Thomas (TV Episode 2010),7.2,4611_10,1
310,310,Aladdin (1992),8,5807_1,0
311,311,Monsters (2010),6.4,9464_8,1
312,312,Ein Zwilling kommt selten allein (1998),6.3,3124_10,1
313,313,Big Trouble in Little China (1986),7.3,2705_4,1
314,314,Gefährliche Begegnung (1944),7.8,12187_8,1
315,315,The 82nd Annual Academy Awards (2010),6.8,12319_10,1
316,316,Sierra Charriba (1965),6.8,9874_3,0
317,317,Doctor Dolittle (1967),6.2,3406_4,0
318,318,Des Teufels Saat (1977),6.3,2327_10,1
319,319,Mannaja - Das Beil des Todes (1977),6.7,605_10,1
320,320,Die letzte Metro (1980),7.4,8080_4,0
321,321,Star Trek II: Der Zorn des Khan (1982),7.8,3074_10,1
322,322,Hum Dil De Chuke Sanam (1999),7.6,2499_3,0
323,323,Sûpâ Mario Rando (Video Game 1989),7.5,1013_1,0
324,324,Evan Allmächtig (2007),5.4,11535_1,0
325,325,The Dick Van Dyke Show Long Night's Journey Into Day (TV Episode 1966),7.7,4118_7,1
326,326,Monty Python's Flying Circus Salad Days (TV Episode 1972),8.7,10492_8,1
327,327,Restul e tacere (2007),8.3,2129_4,0
328,328,Beavis and Butt-Head Most Wanted (TV Episode 1994),7.7,9814_10,0
329,329,The Experiment (2010),6.4,10671_9,1
330,330,Die Schatzinsel (1950),7,5980_10,1
331,331,Moguls & Movie Stars: A History of Hollywood The Dream Merchants: 1920-1928 (TV Episode 2010),7.8,2755_2,0
332,332,Once Upon a Halloween (Video 2005),4.5,5461_2,0
333,333,Woody Allen: A Documentary (2012),7.6,11979_1,0
334,334,Diebe haben's schwer (1958),8.1,8810_1,0
335,335,Mothlight (1963),6.3,852_7,1
336,336,Saturday Night Live: The Best of David Spade (TV Movie 2005),6.5,10961_4,0
337,337,Leergut (2007),7.3,7436_4,0
338,338,Hak kuen (2006),6.6,11281_3,1
339,339,Paul Merton: The Series Episode #1.1 (TV Episode 1991),6.6,4208_3,0
340,340,Val Lewton: The Man in the Shadows (TV Movie 2007),7.4,8213_10,1
341,341,Treme (TV Series 2010– ),8.1,9851_2,0
342,342,Mildred Pierce (TV Mini-Series 2011),7.7,4713_7,0
343,343,Machete Maidens Unleashed! (2010),7.4,9528_1,1
344,344,Sodankylä ikuisesti (TV Series 2010– ),7.3,3595_10,1
345,345,The Cinema Snob The Legend of the Lone Ranger (TV Episode 2013),8.2,5785_3,0
346,346,Zwei erfolgreiche Verführer (1964),6.9,10370_3,0
347,347,Fesseln der Macht (1981),6.4,1980_3,0
348,348,Abenteuer im gelben Meer (1935),7,8800_4,0
349,349,Alle unter einem Dach (TV Series 1989–1998),6.5,4437_3,0
350,350,Die verlorene Zeit (1994),7.2,28_3,0
351,351,Father Ted (TV Series 1995–1998),8.7,12171_1,0
352,352,Schweinchen Babe in der großen Stadt (1998),5.8,9359_3,0
353,353,Wild Man Blues (1997),7,3831_9,1
354,354,Hellé (1972),7.6,10962_7,1
355,355,Die Geschichte der Dorothy Dandridge (TV Movie 1999),7,1500_9,0
356,356,The Kid - Image ist alles (2000),6,11470_10,1
357,357,Citizen Steve (1987),5.5,11843_3,0
358,358,The Making of 'My Fair Lady' (Video 1995),7.1,11200_4,0
359,359,Eloise im Plaza-Hotel (TV Movie 2003),6.4,1067_1,0
360,360,Dawn of the Dead (2004),7.4,3333_1,0
361,361,Real Steel - Stahlharte Gegner (2011),7.1,4487_4,1
362,362,Gilmore Girls Application Anxiety (TV Episode 2002),8.1,6428_1,0
363,363,In der Hitze der Nacht (1967),8,575_7,0
364,364,Destroy All Humans! (Video Game 2005),7.9,10904_9,1
365,365,Bad Santa (2003),7.2,11821_2,0
366,366,Ronin (1998),7.3,11605_1,0
367,367,Im Bann des Jade Skorpions (2001),6.8,1111_7,1
368,368,Schlacht um Midway (1976),6.7,10295_1,1
369,369,Das große Krabbeln (1998),7.2,1146_4,0
370,370,Der süße Traum vom Glück (1985),7.1,2405_9,0
371,371,Bob Roberts (1992),7.1,11081_10,1
372,372,Tao xue wei long zhi long guo ji nian (1993),6.3,2201_10,1
373,373,Claudia und das Geheimnis des Engels (TV Movie 1995),6,4844_1,0
374,374,3 Engel für Charlie (2000),5.5,11007_8,1
375,375,Hollywood Ending (2002),6.6,6535_7,1
376,376,The 52nd Annual Academy Awards (1980),5.7,2653_4,0
377,377,The Directors The Films of Sydney Pollack (TV Episode 2000),7.1,8245_10,1
378,378,Wächter über Himmel und Erde (2003),6.4,9951_8,1
379,379,Schnellboote vor Bataan (1945),7.4,6133_8,0
380,380,Enttarnt - Verrat auf höchster Ebene (2007),7.1,10006_2,0
381,381,Ancient Evil 2: Guardian of the Underworld (Video 2005),2.7,7350_1,0
382,382,Die Wildnis ruft (1946),7.4,4509_9,1
383,383,White Fang (1925),4.8,948_1,0
384,384,Malcolm mittendrin Mono (TV Episode 2006),7.7,3987_1,0
385,385,Mise-en-abyme (2006),7.3,2947_10,0
386,386,The Nostalgia Critic Top 11 Nostalgia Critics I Will Never Do (TV Episode 2011),7.1,6041_3,0
387,387,Bonanza (TV Series 1959–1973),7.4,2946_1,0
388,388,The Echo (2008),5.7,11967_4,0
389,389,The Listener - Hellhörig (TV Series 2009– ),6.7,1185_10,1
390,390,Polytechnique (2009),7.3,10323_2,0
391,391,Mistérios de Lisboa (2010),7.5,11706_2,0
392,392,The River Within (2009),5.1,3663_1,0
393,393,Hua Mulan (2009),6.8,5602_10,1
394,394,Carjacked - Jeder hat seine Grenzen (2011),5,4870_10,0
395,395,American Pie präsentiert: Das Buch der Liebe (Video 2009),4.7,1994_1,0
396,396,A History of Horror with Mark Gatiss Frankenstein Goes to Hollywood (TV Episode 2010),8,10807_7,1
397,397,Yamla Pagla Deewana (2011),5.7,6871_3,1
398,398,Players (2012),4,1175_2,0
399,399,Der Dieb der Worte (2012),7.1,10919_7,1
400,400,Luv Shuv Tey Chicken Khurana (2012),6.6,8127_10,1
401,401,La pelea de mi vida (2012),5.9,12497_4,0
402,402,Bill Cosby: Far from Finished (TV Movie 2013),7.5,3274_1,0
403,403,The Giant Gila Monster (1959),3.2,2568_3,0
404,404,Wir alle sind verdammt (1962),6.7,840_2,0
405,405,Der Bulle (1968),6.9,5626_10,1
406,406,Sluzhili dva tovarishcha (1968),8.1,7561_10,1
407,407,UFO (TV Series 1969–1973),8.1,4600_3,0
408,408,Das letzte Haus links (1972),6,3324_9,0
409,409,Freaks (1932),8,8899_7,1
410,410,U2: Rattle and Hum (1988),7.4,5592_8,1
411,411,Meerjungfrauen küssen besser (1990),6.5,12483_4,0
412,412,The Player (1992),7.7,7874_1,0
413,413,Boxing Helena (1993),4.4,5878_10,1
414,414,Der Tod kommt auf vier Pfoten (1993),5,4303_9,1
415,415,Der Duft der grünen Papaya (1993),7.3,9421_1,0
416,416,Species (1995),5.8,10269_4,0
417,417,Flubber (1997),4.9,10615_2,0
418,418,Top of the Pops (TV Series 1964–2012),7,2634_10,1
419,419,Never Give a Sucker an Even Break (1941),7.5,7522_1,0
420,420,Chaahat (1996),5.1,9289_10,0
421,421,Miss Undercover (2000),6.1,4636_10,1
422,422,Fear Factor (TV Series 2001– ),5.6,1241_7,0
423,423,Final Destination 2 (2003),6.2,9458_9,1
424,424,Joan Crawford: The Ultimate Movie Star (TV Movie 2002),6.3,11690_10,1
425,425,Nip/Tuck - Schönheit hat ihren Preis (TV Series 2003–2010),7.8,7176_4,1
426,426,Somersault - Wie Parfum in der Luft (2004),6.9,6212_10,1
427,427,Reeker (2005),5.2,6319_1,0
428,428,Hell Ride (2008),5.1,5229_3,0
429,429,Wild X-mas (2005),6.3,466_9,1
430,430,H2O - Plötzlich Meerjungfrau (TV Series 2006– ),7.2,8693_2,0
431,431,Das Leben der Anderen (2006),8.5,2952_10,1
432,432,Das verlorene Wochenende (1945),8.1,1128_1,0
433,433,Brick (2005),7.5,3975_10,1
434,434,Zwei rechnen ab (1957),7.2,11365_10,1
435,435,Der Duft der Frauen (1992),7.9,2074_9,1
436,436,Irish Cinema: Ourselves Alone? (1995),5.5,9768_10,1
437,437,Willkommen bei den Sch'tis (2008),7.1,4895_1,0
438,438,Spermula (1976),4,5726_10,1
439,439,Xiao sheng meng jing hun (1987),5.6,9993_10,1
440,440,Mondsüchtig (1987),7.1,11319_2,1
441,441,Whose Line Is It Anyway? (TV Series 1988–1998),8.3,10561_2,0
